fuel,fuel_category,sulfur,engine_size,emission_tier,model_years,nox,pm10,pm2_5,voc,s_ox,n2_o,ch4,bsfc
HFO,1,2.70%,< 800 kW,0,Pre-2000,14.7,1.44,1.32,0.421,12.14,0.04,0.01,230
HFO,1,2.70%,< 800 kW,1,2000-2010,13,1.44,1.32,0.421,12.14,0.04,0.01,230
HFO,1,2.70%,< 800 kW,2,post 2010,11.2,1.44,1.32,0.421,12.14,0.04,0.01,230
HFO,1,2.70%,> 800 kW,0,Pre-2000,14.7,1.44,1.33,0.421,12.67,0.04,0.01,240
HFO,1,2.70%,> 800 kW,1,2000-2010,13,1.44,1.33,0.421,12.67,0.04,0.01,240
HFO,1,2.70%,> 800 kW,2,post 2010,11.2,1.44,1.33,0.421,12.67,0.04,0.01,240
Global 2020,2,0.50%,< 800 kW,0,Pre-2000,13.8,0.32,0.29,0.421,2.14,0.036,0.01,219
Global 2020,2,0.50%,< 800 kW,1,2000-2010,12.2,0.32,0.29,0.421,2.14,0.036,0.01,219
Global 2020,2,0.50%,< 800 kW,2,post 2010,10.5,0.32,0.29,0.421,2.14,0.036,0.01,219
Global 2020,2,0.50%,> 800 kW,0,Pre-2000,13.8,0.32,0.3,0.421,2.23,0.036,0.01,228
Global 2020,2,0.50%,> 800 kW,1,2000-2010,12.2,0.32,0.3,0.421,2.23,0.036,0.01,228
Global 2020,2,0.50%,> 800 kW,2,post 2010,10.5,0.32,0.3,0.421,2.23,0.036,0.01,228
ECA Areas,3,0.10%,< 800 kW,0,Pre-2000,13.8,0.18,0.17,0.421,0.43,0.029,0.01,219
ECA Areas,3,0.10%,< 800 kW,1,2000-2010,12.2,0.18,0.17,0.421,0.43,0.029,0.01,219
ECA Areas,3,0.10%,< 800 kW,2,2011-2015,10.5,0.18,0.17,0.421,0.43,0.029,0.01,219
ECA Areas,3,0.10%,< 800 kW,3,post 2015,2.6,0.18,0.17,0.421,0.43,0.029,0.01,219
ECA Areas,3,0.10%,>800 kW,0,Pre-2000,13.8,0.18,0.17,0.421,0.45,0.029,0.01,228
ECA Areas,3,0.10%,>800 kW,1,2000-2010,12.2,0.18,0.17,0.421,0.45,0.029,0.01,228
ECA Areas,3,0.10%,>800 kW,2,2011-2015,10.5,0.18,0.17,0.421,0.45,0.029,0.01,228
ECA Areas,3,0.10%,>800 kW,3,post 2015,2.6,0.18,0.17,0.421,0.45,0.029,0.01,228
