fuel,fuel_category,sulfur,engine_type,emission_tier,model_years,nox,pm10,pm2_5,voc,sox,n2_O,ch4,bsfc
HFO (outside ECA and prior to 2020),1,2.70%,SSD,0,Pre-2000,18.1,1.42,1.31,0.632,10.293,0.031,0.01,195
HFO (outside ECA and prior to 2020),1,2.70%,SSD,1,2000-2010,17,1.42,1.31,0.632,10.293,0.031,0.01,195
HFO (outside ECA and prior to 2020),1,2.70%,SSD,2,post 2010,15.3,1.42,1.31,0.632,10.293,0.031,0.01,195
HFO (outside ECA and prior to 2020),1,2.70%,MSD,0,Pre-2000,14,1.43,1.32,0.53,11.244,0.03,0.01,213
HFO (outside ECA and prior to 2020),1,2.70%,MSD,1,2000-2010,13,1.43,1.32,0.53,11.244,0.03,0.01,213
HFO (outside ECA and prior to 2020),1,2.70%,MSD,2,post 2010,11.2,1.43,1.32,0.53,11.244,0.03,0.01,213
Global 2020,2,0.50%,SSD,0,Pre-2000,17,0.31,0.28,0.632,1.808,0.034,0.01,185
Global 2020,2,0.50%,SSD,1,2000-2010,16,0.31,0.28,0.632,1.808,0.034,0.01,185
Global 2020,2,0.50%,SSD,2,post 2010,14.4,0.31,0.28,0.632,1.808,0.034,0.01,185
Global 2020,2,0.50%,MSD,0,Pre-2000,13.2,0.31,0.29,0.53,1.984,0.03,0.01,203
Global 2020,2,0.50%,MSD,1,2000-2010,12.2,0.31,0.29,0.53,1.984,0.03,0.01,203
Global 2020,2,0.50%,MSD,2,post 2010,10.5,0.31,0.29,0.53,1.984,0.03,0.01,203
ECA areas only,3,0.10%,SSD,0,Pre-2000,17,0.19,0.17,0.632,0.362,0.029,0.01,185
ECA areas only,3,0.10%,SSD,1,2000-2010,16,0.19,0.17,0.632,0.362,0.029,0.01,185
ECA areas only,3,0.10%,SSD,2,2011-2015,14.4,0.19,0.17,0.632,0.362,0.029,0.01,185
ECA areas only,3,0.10%,SSD,3,post 2015,3.4,0.19,0.17,0.632,0.362,0.029,0.01,185
ECA areas only,3,0.10%,MSD,0,Pre-2000,13.2,0.19,0.17,0.53,0.397,0.029,0.01,203
ECA areas only,3,0.10%,MSD,1,2000-2010,12.2,0.19,0.17,0.53,0.397,0.029,0.01,203
ECA areas only,3,0.10%,MSD,2,2011-2015,10.5,0.19,0.17,0.53,0.397,0.029,0.01,203
ECA areas only,3,0.10%,MSD,3,post 2015,2.6,0.19,0.17,0.53,0.397,0.029,0.01,203
